county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
18119,9.0,34.5,6.2,28.2,11.1,15.3,9.3,21.2,11.8,8.1,25.6,19.9,41.2,3.2
18121,10.1,36.3,6.8,28.8,12.2,18.8,12.6,24.0,13.9,9.7,29.3,21.2,42.4,3.5
18123,8.9,35.8,6.2,26.1,11.1,14.1,8.3,20.1,11.3,7.7,24.5,19.2,37.5,3.1
18125,8.9,34.3,6.2,27.0,11.2,14.9,9.0,20.6,11.5,7.9,25.7,19.7,37.7,3.1
18127,8.7,34.3,5.4,24.4,10.6,13.0,6.8,17.9,10.9,6.9,24.5,17.7,39.8,2.7
18129,7.3,33.2,5.5,26.4,10.0,11.6,6.6,17.8,9.9,6.6,21.3,18.4,40.0,2.8
18131,9.5,35.1,6.3,27.1,11.4,15.4,9.1,21.4,12.0,8.1,26.6,19.8,38.7,3.2
18133,8.3,34.1,5.9,26.4,11.1,13.6,7.8,19.2,11.1,7.5,24.2,18.8,39.1,3.0
18135,9.7,34.9,6.4,27.2,11.5,16.1,10.0,21.9,12.6,8.5,27.2,20.0,38.7,3.2
18137,8.2,33.2,5.7,26.1,10.2,12.9,7.3,18.9,10.5,7.1,23.6,19.1,36.1,2.9
18139,8.8,34.6,6.3,27.9,11.5,15.6,9.7,21.3,11.9,8.2,26.0,20.0,39.0,3.2
18141,9.2,35.1,5.7,27.7,11.7,16.0,9.5,20.7,13.0,8.5,26.1,19.3,36.0,3.1
18143,9.9,36.2,6.4,28.2,11.8,16.9,10.7,22.8,12.7,8.8,28.6,20.7,41.8,3.3
18145,9.0,35.1,5.9,28.0,11.3,14.4,8.4,20.3,11.5,7.6,24.8,19.4,41.0,3.0
18147,7.8,34.4,5.7,27.3,10.4,12.1,6.8,18.1,10.1,6.8,22.4,18.6,39.5,2.8
18149,10.1,35.0,6.5,27.9,11.8,17.0,10.5,22.5,12.8,8.7,27.5,20.5,42.1,3.3
18151,8.4,33.3,5.8,27.0,10.6,13.0,7.3,19.2,10.6,7.1,23.3,18.7,35.4,2.9
18153,9.7,37.1,6.7,26.0,12.0,17.3,10.7,22.8,13.1,9.0,27.2,19.5,43.4,3.4
18155,10.1,36.3,6.6,28.4,11.7,16.9,10.4,22.7,12.8,8.7,27.9,20.5,39.9,3.4
18157,8.8,33.5,6.1,23.8,11.6,15.0,9.1,19.5,11.9,8.0,22.6,17.5,30.8,3.1
18159,7.8,32.9,5.7,26.7,10.4,12.6,7.0,18.3,10.2,6.9,22.8,18.5,36.5,2.8
18161,7.6,32.7,5.5,27.0,10.1,12.0,6.6,17.9,10.0,6.7,22.5,18.9,37.4,2.8
18163,8.4,35.1,6.0,27.9,11.2,15.5,9.5,20.5,12.1,8.3,25.4,19.3,38.6,3.1
18165,8.6,35.3,6.4,27.6,11.5,15.2,9.5,21.4,11.8,8.1,26.0,20.0,40.4,3.2
18167,9.1,36.3,6.6,26.9,12.8,17.5,11.3,23.0,13.6,9.2,25.6,20.0,42.6,3.4
